name,artist,danceability,key,mode,instrumentalness,duration,energy,loudness,speechiness,acousticness,tempo,liveness,valence,popularity,hollywood
true faith 94,neworder,0.605,0,1,0.0158,1.93969021,0.907,-3.56,0.033,0.0158,0.534157905,0.0697,0.965,0.306532663,1
lollipop,djaligator,0.829,7,1,0.126,1.461079747,0.826,-7.463,0.048,0.00347,0.63642025,0.22,0.958,0.226130653,1
pass it on,thecoral,0.395,7,1,7.12E-06,0.891758066,0.727,-6.015,0.0375,0.282,0.814103176,0.0683,0.872,0.271356784,1
trunk,kingsofleon,0.454,9,1,0.698,1.510807892,0.563,-7.994,0.0305,0.518,0.579509348,0.167,0.261,0,1
when a man loves a woman,percysledge,0.211,1,1,2.24E-06,1.181295854,0.422,-11.832,0.037,0.00183,0.866345747,0.122,0.158,0,1
innan mörkret faller,larswinnerbäck,0.444,2,1,0.00138,1.525991198,0.838,-7.629,0.0277,0.0457,0.67875796,0.344,0.897,0.211055276,1
dead ringer for love,meatloaf,0.256,5,0,0.00585,1.6363121,0.996,-5.397,0.203,0.023,0.769115381,0.216,0.303,0.195979899,1
main offender,thehives,0.43,0,1,0.00262,0.998465347,0.954,-4.541,0.105,0.261,0.618019664,0.155,0.79,0,1
groove is in the heart,deeelite,0.694,1,0,0.0196,1.483054659,0.881,-4.053,0.0701,0.0153,0.552535763,0.0851,0.924,0.326633166,1
ompa til du dør,kaizersorchestra,0.438,6,0,0,1.817044014,0.527,-5.714,0.0305,0.029,0.467264868,0.0538,0.74,0,1
piece of my heart,bigbrothertheholdingcompany,0.546,4,1,0.000113,1.590910094,0.719,-8.135,0.0854,0.222,0.365193438,0.157,0.545,0,1
mujer contra mujer,mecano,0.429,5,1,0,1.561773029,0.408,-8.465,0.038,0.71,0.657689108,0.0972,0.188,0.271356784,1
come clean,hilaryduff,0.57,8,0,2.72E-05,1.39298417,0.905,-5.108,0.0705,0.015,0.536762533,0.298,0.389,0.170854271,1
dig up her bones,misfits,0.522,10,0,8.23E-06,1.185173494,0.992,-4.708,0.0925,0.00325,0.50495243,0.137,0.144,0.266331658,1
she bangs the drums,thestoneroses,0.336,9,1,0.0201,1.435532154,0.833,-11.87,0.0366,0.0523,0.65565268,0.206,0.882,0.145728643,1
the anthem,goodcharlotte,0.573,1,1,0,1.153834328,0.947,-3.109,0.107,0.00794,0.404158314,0.189,0.899,0,1
malibu,hole,0.529,2,1,0,1.476811467,0.913,-5.85,0.0357,0.000976,0.556126786,0.181,0.674,0,1
beach in hawaii,ziggymarley,0.807,9,0,9.01E-06,1.422579469,0.458,-9.594,0.0361,0.211,0.458919147,0.0839,0.874,0.201005025,1
summer 78 1,yanntiersen,0.274,2,0,0.961,1.498541268,0.409,-8.567,0.0306,0.935,0.476115149,0.0921,0.0567,0.246231156,1
big in japan  best of,alphaville,0.755,2,0,0.0336,1.501618049,0.604,-9.84,0.0454,0.183,0.4445596,0.128,0.491,0.296482412,1
welcome home  clean album version,coheedandcambria,0.439,11,1,2.55E-06,2.081891216,0.946,-5.295,0.103,0.00627,0.699740446,0.0893,0.162,0,1
my doorbell,thewhitestripes,0.611,8,1,0.00625,1.535022683,0.659,-9.839,0.0342,0.284,0.441518594,0.101,0.805,0,1
at the bottom of everything,brighteyes,0.517,0,1,0,1.688402626,0.462,-11.205,0.101,0.632,0.487433691,0.366,0.833,0,1
id do anything for love but i wont do that,meatloaf,0.395,2,1,4.13E-06,2.960127532,0.562,-10.383,0.0811,0.467,0.472328665,0.143,0.363,0.27638191,1
underclass hero,sum41,0.473,9,1,0,1.275043483,0.988,-2.981,0.097,0.000864,0.436372976,0.0915,0.729,0,1
changes,blacksabbath,0.155,0,1,5.26E-06,1.733447899,0.319,-9.968,0.0347,0.0685,0.20551563,0.118,0.151,0,1
blood,editors,0.37,6,0,0.0963,1.362739189,0.924,-4.833,0.0542,9.73E-06,0.681835331,0.15,0.598,0.120603015,1
halo,takida,0.431,10,1,8.93E-06,1.510807892,0.909,-7.823,0.0562,3.93E-05,0.772679131,0.338,0.243,0,1
too bad,nickelback,0.598,10,1,0,1.486165784,0.808,-5.209,0.0388,0.00304,0.581950335,0.147,0.288,0.296482412,1
wolfpack,sabaton,0.337,6,0,0,2.014654301,0.748,-7.155,0.0394,0.00435,0.359302341,0.0877,0.141,0,1
bicycle race,queen,0.38,10,0,0,1.208207643,0.627,-6.197,0.0969,0.0278,0.765706182,0.0223,0.536,0,1
windowpane,opeth,0.328,6,1,0.412,2.360455981,0.553,-6.252,0.0267,0.156,0.727109499,0.0985,0.322,0.286432161,1
london bridge,fergie,0.77,1,1,0,1.532018658,0.604,-5.817,0.356,0.199,0.413363153,0.208,0.65,0,1
can you feel it  single version,thejacksons,0.846,6,0,0.000668,1.476811467,0.7,-4.984,0.0498,0.0455,0.570368148,0.322,0.877,0,1
stop this train,johnmayer,0.619,7,1,0.00609,1.736053928,0.437,-11.756,0.0314,0.465,0.406881128,0.0971,0.406,0,1
sigur 4 untitled,sigurrós,0.222,0,1,0.778,2.327657311,0.415,-11.834,0.0319,0.445,0.54136268,0.0737,0.117,0,1
russians,sting,0.445,0,0,1.37E-05,1.510807892,0.422,-11.327,0.0329,0.477,0.52532126,0.22,0.149,0.216080402,1
hold on,tomwaits,0.466,2,1,0.00049,1.93288817,0.242,-14.053,0.0412,0.886,0.674116904,0.187,0.657,0,1
i wish i was someone better,bloodredshoes,0.399,11,1,1.94E-06,1.457911912,0.991,-2.885,0.0844,0.00313,0.749946589,0.0432,0.232,0,1
human after all,daftpunk,0.608,0,1,0.0546,1.879659381,0.725,-4.367,0.342,0.00139,0.619342434,0.0802,0.802,0.256281407,1
the tide is high  radio mix,atomickitten,0.776,7,1,0.00177,1.338746019,0.693,-2.528,0.0314,0.0234,0.468178533,0.0322,0.635,0.341708543,1
here without you,3doorsdown,0.551,10,0,0,1.519937653,0.543,-6.765,0.0249,0.0587,0.654570827,0.131,0.213,0,1
true men dont kill coyotes  2002 digital remaster,redhotchilipeppers,0.641,11,0,1.17E-06,1.422579469,0.899,-4.992,0.0787,0.0407,0.503402381,0.118,0.562,0.201005025,1
hella good,nodoubt,0.778,8,1,0.00769,1.538020276,0.671,-3.979,0.0353,0.0167,0.52334847,0.0815,0.823,0,1
45,shinedown,0.446,7,1,0,1.576416994,0.657,-4.494,0.0262,0.0022,0.691531094,0.189,0.215,0.24120603,1
sun särkyä anna mä en,johannakurkela,0.406,4,1,0.000255,1.21579904,0.482,-7.986,0.0267,0.118,0.354247635,0.127,0.195,0.231155779,1
thunder,boyslikegirls,0.508,2,1,0,1.507751329,0.821,-5.279,0.0395,0.223,0.341179038,0.316,0.463,0.286432161,1
cure for the itch,linkinpark,0.75,8,1,0.0509,1.029290427,0.677,-7.395,0.221,0.163,0.454514462,0.247,0.851,0.195979899,1
touch of red,inflames,0.5,10,0,0.919,1.11767873,0.985,-3.632,0.105,5.46E-06,0.454114449,0.194,0.208,0,1
frances farmer will have her revenge on seattle,nirvana,0.483,5,0,0.000767,1.573500379,0.814,-8.302,0.0424,2.70E-05,0.533566977,0.079,0.539,0,1
invisible my song,laleh,0.721,9,0,1.67E-05,1.605255642,0.746,-5.984,0.0266,0.501,0.463596569,0.284,0.681,0.180904523,1
zigenarliv dreamin,håkanhellström,0.551,7,1,0.0443,1.900719973,0.905,-5.799,0.0343,0.00526,0.345547358,0.432,0.961,0,1
high speed,coldplay,0.493,7,0,0.00736,1.605255642,0.525,-9.342,0.0301,0.396,0.702058702,0.0961,0.248,0.316582915,1
you and i both,jasonmraz,0.61,7,1,0,1.422579469,0.784,-7.469,0.0473,0.177,0.449877951,0.36,0.698,0.296482412,1
